Company Name,Vacancies Offered,Year,Work Mode,Highest Salary (INR LPA),Time-Period,AI/ML,CyberSecurity,Cloud Computing,Data Science & Analytics,Software Dev,DevOps & SRE,Blockchain & Web3,IoT,AR/VR & Metaverse,Quantum Computing
Infosys,9000,2021,Hybrid,11,Historical,800,500,1200,700,2500,1200,300,200,150,40
TCS,12000,2021,Onsite,10,Historical,1000,600,1500,900,3000,1500,350,250,180,50
Wipro,6500,2021,Hybrid,11,Historical,600,400,900,600,1800,900,250,150,120,30
HCL Technologies,5800,2021,Remote,12,Historical,550,350,800,500,1600,800,200,120,100,25
IBM India,7200,2021,Hybrid,15,Historical,700,500,1100,800,2000,1000,300,200,150,40
Deloitte,4500,2021,Hybrid,16,Historical,600,700,600,700,1200,700,150,100,120,30
EY India,3800,2021,Hybrid,15,Historical,500,600,500,600,1000,600,120,80,100,20
Capgemini,6000,2021,Hybrid,12,Historical,700,400,900,700,1800,900,250,150,130,35
JP Morgan India,2800,2021,Hybrid,20,Historical,400,350,300,400,700,400,100,60,80,20
Amazon India,4200,2021,Remote,24,Historical,900,400,700,900,1200,700,200,150,130,30
Flipkart,2200,2021,Hybrid,17,Historical,300,200,300,400,700,400,100,80,60,10
Zoho,1800,2021,Onsite,13,Historical,200,150,250,300,500,300,80,60,50,8
Razorpay,1200,2021,Hybrid,18,Historical,250,180,200,300,400,250,90,70,60,12
Uber,2000,2021,Hybrid,25,Historical,500,300,400,600,800,500,150,100,90,20
Shiprocket,800,2021,Hybrid,14,Historical,120,100,150,180,300,180,60,40,30,8
Bread Financial,600,2021,Remote,16,Historical,100,80,120,150,250,150,40,30,20,6
Tesco,1000,2021,Hybrid,15,Historical,200,150,250,300,500,300,80,60,50,10
Groww,1200,2021,Hybrid,18,Historical,250,180,200,300,400,250,90,70,60,12
Siemens,2000,2021,Hybrid,20,Historical,400,300,500,600,900,500,150,120,100,25
Sanofi,700,2021,Remote,14,Historical,100,80,120,150,250,150,40,30,20,6
Microsoft India,3500,2021,Hybrid,30,Historical,700,500,900,800,1200,700,250,180,160,50
Google India,3800,2021,Hybrid,32,Historical,800,600,1000,900,1500,800,300,200,180,60
Juspay,600,2021,Remote,16,Historical,120,80,100,150,200,120,50,40,30,6
Accenture,7500,2021,Hybrid,18,Historical,900,700,1100,900,2000,1000,300,200,150,40
Reliance Industry,2200,2021,Onsite,14,Historical,300,250,400,350,600,350,100,80,70,15
SBI,1500,2021,Onsite,12,Historical,200,300,250,300,400,250,80,60,50,10
Maruti Suzuki,1800,2021,Onsite,13,Historical,250,180,200,300,400,250,90,70,60,12
Tata Motors,2000,2021,Hybrid,15,Historical,300,250,400,350,600,350,100,80,70,15
Bajaj Finance,1600,2021,Hybrid,16,Historical,220,180,240,300,450,280,90,60,50,10
LIC,5000,2021,Onsite,12,Historical,300,400,350,500,800,450,120,90,70,15
Infosys,9800,2022,Hybrid,13,Historical,850,550,1300,750,2700,1300,320,220,160,45
TCS,13500,2022,Onsite,12,Historical,1100,650,1600,950,3200,1600,370,270,190,55
Wipro,7200,2022,Hybrid,13,Historical,650,450,950,650,1900,950,270,160,130,35
HCL Technologies,6200,2022,Remote,13,Historical,600,400,850,550,1700,850,220,130,110,30
IBM India,7800,2022,Hybrid,17,Historical,750,550,1200,850,2100,1100,320,220,160,45
Deloitte,5000,2022,Hybrid,18,Historical,650,750,650,750,1300,750,170,120,130,35
EY India,4200,2022,Hybrid,17,Historical,550,650,550,650,1100,650,140,90,110,25
Capgemini,6500,2022,Hybrid,14,Historical,750,450,950,750,1900,950,270,160,140,40
JP Morgan India,3000,2022,Hybrid,23,Historical,450,400,350,450,750,450,120,70,90,25
Amazon India,4500,2022,Remote,26,Historical,950,450,750,950,1300,750,220,170,140,35
Flipkart,2400,2022,Hybrid,19,Historical,320,220,320,420,750,420,110,90,70,12
Zoho,2000,2022,Onsite,15,Historical,220,170,270,320,550,320,90,70,60,10
Razorpay,1400,2022,Hybrid,20,Historical,280,200,220,320,420,270,100,80,70,15
Uber,2200,2022,Hybrid,28,Historical,550,350,450,650,850,550,170,120,100,25
Shiprocket,900,2022,Hybrid,17,Historical,140,120,170,200,320,200,70,50,40,10
Bread Financial,700,2022,Remote,20,Historical,120,100,140,170,270,170,50,40,30,8
Tesco,1100,2022,Hybrid,18,Historical,220,170,270,320,520,320,90,70,60,12
Groww,1400,2022,Hybrid,23,Historical,280,200,220,320,420,270,100,80,70,15
Siemens,2200,2022,Hybrid,22,Historical,420,320,550,650,950,550,170,140,120,30
Sanofi,800,2022,Remote,18,Historical,120,100,140,170,270,170,50,40,30,8
Microsoft India,3800,2022,Hybrid,32,Historical,750,550,950,850,1300,750,270,200,180,55
Google India,4000,2022,Hybrid,34,Historical,850,650,1100,950,1600,850,320,220,200,65
Juspay,700,2022,Remote,18,Historical,140,100,120,170,220,140,60,50,40,8
Accenture,8000,2022,Hybrid,20,Historical,950,750,1200,950,2100,1100,320,220,170,45
Reliance Industry,2400,2022,Onsite,16,Historical,320,270,450,400,650,370,120,90,80,18
SBI,1700,2022,Onsite,14,Historical,220,320,270,320,420,270,90,70,60,12
Maruti Suzuki,2000,2022,Onsite,15,Historical,270,200,220,320,450,270,100,80,70,15
Tata Motors,2200,2022,Hybrid,17,Historical,320,270,450,400,650,370,120,90,80,18
Bajaj Finance,1800,2022,Hybrid,18,Historical,250,200,270,320,480,300,100,70,60,12
LIC,5200,2022,Onsite,14,Historical,320,420,380,520,850,470,130,100,80,18
Infosys,10200,2023,Hybrid,14,Historical,900,600,1400,800,2800,1400,340,240,170,50
TCS,14000,2023,Onsite,13,Historical,1200,700,1700,1000,3400,1700,390,290,200,60
Wipro,7500,2023,Hybrid,14,Historical,700,500,1000,700,2000,1000,280,180,140,40
HCL Technologies,6500,2023,Remote,14,Historical,650,450,900,600,1800,900,240,140,120,35
IBM India,8000,2023,Hybrid,18,Historical,800,600,1300,900,2200,1200,340,240,180,50
Deloitte,5500,2023,Hybrid,20,Historical,700,800,700,800,1400,800,190,140,150,40
EY India,4500,2023,Hybrid,19,Historical,600,700,600,700,1200,700,160,100,120,30
Capgemini,7000,2023,Hybrid,15,Historical,800,500,1000,800,2000,1000,280,180,150,45
JP Morgan India,3200,2023,Hybrid,25,Historical,500,450,400,500,800,500,140,80,100,30
Amazon India,4800,2023,Remote,28,Historical,1000,500,800,1000,1400,800,240,180,150,40
Flipkart,2600,2023,Hybrid,21,Historical,350,250,350,450,800,450,120,100,80,15
Zoho,2200,2023,Onsite,17,Historical,250,200,300,350,600,350,100,80,70,12
Razorpay,1600,2023,Hybrid,22,Historical,300,220,250,350,450,300,110,90,80,18
Uber,2400,2023,Hybrid,30,Historical,600,400,500,700,900,600,190,140,120,30
Shiprocket,1000,2023,Hybrid,19,Historical,160,140,190,220,340,220,80,60,50,12
Bread Financial,800,2023,Remote,22,Historical,140,120,160,190,290,190,60,50,40,10
Tesco,1200,2023,Hybrid,20,Historical,240,190,290,340,540,340,100,80,70,15
Groww,1600,2023,Hybrid,26,Historical,300,220,250,350,450,300,110,90,80,18
Siemens,2400,2023,Hybrid,24,Historical,450,350,600,700,1000,600,190,160,140,35
Sanofi,900,2023,Remote,20,Historical,140,120,160,190,290,190,60,50,40,10
Microsoft India,4200,2023,Hybrid,35,Historical,800,600,1000,900,1400,800,280,220,200,60
Google India,4400,2023,Hybrid,36,Historical,900,700,1200,1000,1700,900,340,240,220,70
Juspay,800,2023,Remote,20,Historical,160,120,140,190,240,160,70,60,50,10
Accenture,9000,2023,Hybrid,22,Historical,1000,800,1300,1000,2300,1200,340,240,190,50
Reliance Industry,2600,2023,Onsite,18,Historical,340,290,480,180,700,400,140,100,90,20
SBI,1900,2023,Onsite,16,Historical,250,350,300,350,450,300,100,80,70,15
Maruti Suzuki,2200,2023,Onsite,17,Historical,300,220,250,370,500,300,110,90,80,18
Tata Motors,2400,2023,Hybrid,20,Historical,370,320,520,470,720,400,130,100,90,22
Bajaj Finance,2000,2023,Hybrid,20,Historical,280,240,300,370,500,320,120,90,70,18
LIC,5300,2023,Onsite,16,Historical,340,450,400,550,880,490,140,110,90,20
Infosys,11000,2024,Hybrid,13,Historical,1100,700,1400,900,2800,1400,320,240,170,45
TCS,14000,2024,Onsite,12,Historical,1400,900,1800,1300,3700,2300,400,300,200,55
Wipro,8500,2024,Hybrid,13,Historical,850,550,1100,700,2300,1300,280,180,130,35
HCL Technologies,8000,2024,Remote,13,Historical,800,500,1000,650,2000,1300,240,160,110,30
IBM India,9500,2024,Hybrid,17,Historical,1200,800,1500,1100,2800,1600,360,250,200,60
Deloitte,7000,2024,Hybrid,18,Historical,900,1100,800,1000,1400,900,180,130,140,40
EY India,5500,2024,Hybrid,17,Historical,700,900,600,800,1200,800,140,100,120,30
Capgemini,9000,2024,Hybrid,14,Historical,1000,600,1200,900,2600,1400,300,200,170,45
JP Morgan India,4500,2024,Hybrid,23,Historical,800,700,500,600,900,600,180,80,120,30
Amazon India,6500,2024,Remote,26,Historical,1300,500,900,1200,1800,1000,250,180,150,40
Flipkart,3800,2024,Hybrid,19,Historical,650,350,550,700,1100,700,150,100,80,20
Zoho,2800,2024,Onsite,15,Historical,450,250,350,500,800,500,120,80,60,10
Razorpay,2300,2024,Hybrid,20,Historical,550,300,450,600,700,450,130,90,80,18
Uber,4700,2024,Hybrid,28,Historical,1100,550,700,1000,1400,800,200,150,120,30
Shiprocket,1800,2024,Hybrid,17,Historical,450,250,350,500,700,400,120,80,80,20
Bread Financial,1600,2024,Remote,20,Historical,400,200,300,450,600,350,100,60,50,20
Tesco,2000,2024,Hybrid,18,Historical,500,300,400,600,800,500,150,100,80,30
Groww,2800,2024,Hybrid,23,Historical,650,350,550,700,900,600,180,120,100,25
Siemens,3800,2024,Hybrid,22,Historical,850,450,600,900,1200,800,220,150,120,30
Sanofi,1300,2024,Remote,18,Historical,300,150,250,400,500,300,100,60,50,20
Microsoft India,4500,2024,Hybrid,35,Historical,900,700,1200,1000,1600,900,300,220,200,60
Google India,4800,2024,Hybrid,36,Historical,1000,800,1300,1100,1800,1000,350,240,220,70
Juspay,700,2024,Remote,18,Historical,140,100,120,170,220,140,60,50,40,10
Accenture,9500,2024,Hybrid,22,Historical,1000,800,1300,1000,2300,1200,340,240,190,50
Reliance Industry,2600,2024,Onsite,18,Historical,340,270,450,400,700,400,140,100,90,20
SBI,1900,2024,Onsite,16,Historical,250,350,300,350,450,300,100,80,70,15
Maruti Suzuki,2200,2024,Onsite,17,Historical,300,220,250,370,500,300,110,90,80,18
Tata Motors,2400,2024,Hybrid,20,Historical,370,300,500,450,700,370,120,90,80,18
Bajaj Finance,2000,2024,Hybrid,20,Historical,280,240,300,370,500,320,120,90,70,18
LIC,5300,2024,Onsite,16,Historical,340,450,400,550,880,490,140,110,90,20
Infosys,11500,2025,Hybrid,15,Historical,1200,800,1600,1000,3000,1600,350,260,180,50
TCS,15000,2025,Onsite,14,Historical,1500,1000,2000,1400,4000,2500,450,320,220,65
Wipro,9000,2025,Hybrid,15,Historical,950,650,1300,850,2500,1400,300,200,150,40
HCL Technologies,8500,2025,Remote,15,Historical,900,600,1200,800,2200,1300,280,180,130,35
IBM India,10000,2025,Hybrid,20,Historical,1300,900,1700,1300,3200,1800,400,280,220,70
Deloitte,7500,2025,Hybrid,22,Historical,1000,1200,900,1200,1800,1000,200,150,160,45
EY India,6000,2025,Hybrid,20,Historical,850,1000,700,1000,1500,900,180,130,140,35
Capgemini,10000,2025,Hybrid,16,Historical,1200,700,1500,1100,2800,1600,350,240,180,50
JP Morgan India,5000,2025,Hybrid,26,Historical,900,800,600,700,1200,700,200,100,130,35
Amazon India,7000,2025,Remote,30,Historical,1500,600,1000,1400,2000,1200,300,220,180,55
Flipkart,4000,2025,Hybrid,22,Historical,700,400,600,800,1200,700,180,120,90,25
Zoho,3000,2025,Onsite,17,Historical,500,300,400,600,900,600,150,100,80,15
Razorpay,2500,2025,Hybrid,24,Historical,600,400,500,700,900,600,180,120,100,30
Uber,5000,2025,Hybrid,32,Historical,1200,700,900,1300,2200,1300,350,250,200,60
Shiprocket,2000,2025,Hybrid,20,Historical,500,300,400,600,900,500,160,120,100,25
Bread Financial,1800,2025,Remote,22,Historical,400,250,350,500,700,400,130,90,80,20
Tesco,2200,2025,Hybrid,20,Historical,550,350,450,650,1000,600,180,130,100,30
Groww,3000,2025,Hybrid,26,Historical,700,400,600,800,1200,700,200,150,120,35
Siemens,4000,2025,Hybrid,25,Historical,900,500,700,1000,1500,900,250,180,150,40
Sanofi,1500,2025,Remote,20,Historical,350,200,300,500,700,400,130,90,80,20
Microsoft India,5000,2025,Hybrid,38,Historical,1000,800,1400,1200,2000,1200,350,250,220,70
Google India,5200,2025,Hybrid,40,Historical,1200,900,1500,1300,2200,1300,400,280,240,80
Juspay,800,2025,Remote,27,Historical,160,120,140,190,240,160,70,60,50,10
Accenture,10000,2025,Hybrid,24,Historical,1200,900,1500,1200,2800,1500,400,280,200,60
Reliance Industry,3000,2025,Onsite,20,Historical,400,300,500,450,800,500,160,120,100,25
SBI,2200,2025,Onsite,18,Historical,300,400,350,450,600,400,140,100,90,20
Maruti Suzuki,2400,2025,Onsite,20,Historical,350,250,300,450,600,350,150,110,90,22
Tata Motors,4000,2025,Hybrid,20,Historical,500,400,600,700,1200,700,200,150,120,30
Bajaj Finance,5000,2025,Hybrid,22,Historical,600,450,550,700,1000,600,180,130,100,25
LIC,6500,2025,Onsite,20,Historical,700,600,500,800,1200,700,200,150,120,30
